,make,word,count
893,rivian,economic,4
894,rivian,need,4
895,rivian,delivery,4
896,rivian,grab,4
897,rivian,kia,3
898,rivian,factories,3
899,dodge,county,17
900,dodge,city,14
901,dodge,stay,11
902,dodge,storms,8
903,dodge,man,8
904,dodge,street,8
905,dodge,challenger,8
906,dodge,severe,8
907,dodge,fond,8
908,dodge,du,8
909,dodge,lac,8
910,dodge,counties,8
911,dodge,la,7
912,dodge,pm,7
913,dodge,road,7
914,dodge,police,7
915,dodge,charger,7
916,dodge,dps,7
917,dodge,hellcat,7
918,dodge,thunderstorm,7
919,dodge,dont,6
920,dodge,shot,6
921,dodge,car,6
922,dodge,seized,6
923,dodge,rain,6
924,dodge,srt,6
925,dodge,chase,6
926,dodge,west,6
927,dodge,jefferson,6
928,dodge,mph,6
929,dodge,warning,6
930,dodge,washington,6
931,dodge,morning,6
932,dodge,amp,6
933,dodge,near,6
934,dodge,law,5
935,dodge,trying,5
936,dodge,question,5
937,dodge,way,5
938,dodge,wind,5
939,dodge,woman,5
940,dodge,thousands,5
941,dodge,place,5
942,dodge,took,5
943,dodge,patrol,5
944,dodge,vehicle,5
945,dodge,highspeed,5
946,dodge,texas,5
947,dodge,change,5
948,dodge,black,5
949,jeep,amp,27
950,jeep,chrysler,12
951,jeep,15,10
952,jeep,vehicles,10
953,jeep,20,10
954,jeep,12,10
955,jeep,chevy,10
956,jeep,tie,10
957,jeep,makes,9
958,jeep,1005,9
959,jeep,philadelphia,9
960,jeep,carjacked,9
961,jeep,far,9
962,jeep,2022,9
963,jeep,141,9
964,jeep,130,9
965,jeep,99,9
966,jeep,71,9
967,jeep,55,9
968,jeep,51,9
969,jeep,43,9
970,jeep,kia,9
971,jeep,32,9
972,jeep,acura,9
973,jeep,22,9
974,jeep,tiesubaru,9
975,jeep,mitsubishi,9
976,jeep,19,9
977,jeep,13,9
978,jeep,18,9
979,jeep,14,9
980,jeep,mazda,9
981,jeep,wagoneer,9
982,jeep,cherokee,8
983,jeep,4x4,7
984,jeep,174,6
985,jeep,grand,6
986,jeep,4xe,6
987,jeep,detroitnews,6
988,jeep,police,6
989,jeep,black,6
990,jeep,910superstation,5
991,jeep,man,5
992,jeep,sarah,4
993,jeep,lee,4
994,jeep,2023,4
995,jeep,l,4
996,jeep,car,4
997,jeep,kprc2,4
998,jeep,crash,4
